domain,policy,ppl,n_evictions,tokens_evicted,prefill_tok,qcf_sum
literary,sliding,326.17274475529945,1,64,150,0.551781952381134
literary,h2o,332.00572946319977,1,64,150,0.016230063512921333
literary,rkv,332.00572946319977,1,64,150,n/a
encyclopedic,sliding,219.39865607309886,1,64,150,0.40850862860679626
encyclopedic,h2o,221.35046616371693,1,64,150,0.020605603232979774
encyclopedic,rkv,222.471845772819,1,64,150,n/a
technical,sliding,277.3507408824455,1,64,150,0.6047304272651672
technical,h2o,263.43221450263013,1,64,150,0.018685568124055862
technical,rkv,263.4038213544473,1,64,150,n/a
conversational,sliding,203.45849674689765,1,64,150,0.6583116054534912
conversational,h2o,201.29800567947498,1,64,150,0.01584269478917122
conversational,rkv,201.4303480365839,1,64,150,n/a
news,sliding,267.1998295451866,1,64,150,0.606855571269989
news,h2o,271.5382386042341,1,64,150,0.016838252544403076
news,rkv,272.36660269486816,1,64,150,n/a
