position,score
0,22.186020
1,0.032634
2,0.022359
3,0.015821
4,0.017923
5,0.045134
6,0.042346
7,0.016724
8,0.035732
9,0.020116
10,0.022384
11,0.020091
12,0.042591
13,0.038457
14,0.029120
15,0.049282
16,0.049407
17,0.033720
18,0.069652
19,0.038915
20,0.075770
21,0.046975
22,0.021339
23,0.018456
24,0.031259
25,0.082388
26,0.040343
27,0.076558
28,0.072467
29,0.034490
30,0.075884
31,0.040507
32,0.034045
33,0.062195
34,0.029861
35,0.051085
36,0.041973
37,0.049421
38,0.064375
39,0.038630
40,0.087115
41,0.044409
42,0.049450
43,0.045276
44,0.073247
45,0.037529
46,0.050722
47,0.080599
48,0.120595
49,0.042647
50,0.080855
51,0.078459
52,0.066028
53,0.073780
54,0.132918
55,0.112703
56,0.050686
57,0.120372
58,0.075263
59,0.050590
60,0.037383
61,0.042539
62,0.092880
63,0.043502
64,0.037589
65,0.056409
66,0.048829
67,0.180415
68,0.066342
69,0.052166
70,0.079067
71,0.036203
72,0.060387
73,0.101252
74,0.053274
75,0.047095
76,0.048286
77,0.052210
78,0.035235
79,0.038660
80,0.063266
81,0.068158
82,0.099233
83,0.049017
84,0.066157
85,0.042208
86,0.147679
87,0.078434
88,0.096875
89,0.057939
90,0.089704
91,0.051368
92,0.047860
93,0.045402
94,0.071773
95,0.040761
96,0.034316
97,0.055821
98,0.042223
99,0.085910
100,0.049140
101,0.073314
102,0.064386
103,0.064172
104,0.061993
105,0.051196
106,0.032351
107,0.022848
108,0.044369
109,0.063019
110,0.129158
111,0.083749
112,0.085752
113,0.082419
114,0.050241
115,0.070909
116,0.061673
117,0.117114
118,0.081481
119,0.060815
120,0.093335
121,0.089161
122,0.074470
123,0.105776
124,0.059245
125,0.109618
126,0.130878
127,0.059903
128,0.068357
129,0.063315
130,0.115270
131,0.078908
132,0.087528
133,0.064457
134,0.076804
135,0.103977
136,0.071625
137,0.059894
138,0.112454
139,0.072366
140,0.126065
141,0.116979
142,0.041886
143,0.121908
144,0.056025
145,0.102270
146,0.168011
147,0.081599
148,0.144650
149,0.052499
150,0.112607
151,0.070123
152,0.080106
153,0.062066
154,0.088229
155,0.093015
156,0.113730
157,0.129479
158,0.093252
159,0.055482
160,0.094133
161,0.043675
162,0.077097
163,0.070472
164,0.054109
165,0.114587
166,0.095108
167,0.054130
168,0.068445
169,0.062406
170,0.108369
171,0.087016
172,0.072679
173,0.044610
174,0.107158
175,0.206002
176,0.100238
177,0.086587
178,0.079434
179,0.045348
180,0.076592
181,0.044538
182,0.062437
183,0.053020
184,0.052355
185,0.078328
186,0.086774
187,0.069788
188,0.086377
189,0.056141
190,0.090286
191,0.151408
192,0.080233
193,0.074963
194,0.075844
195,0.071704
196,0.082277
197,0.092347
198,0.075510
199,0.074603
200,0.071568
201,0.050347
202,0.050842
203,0.071916
204,0.069205
205,0.109147
206,0.111617
207,0.042891
208,0.099592
209,0.077704
210,0.117243
211,0.102692
212,0.064472
213,0.077301
214,0.059647
215,0.102985
216,0.062241
217,0.058468
218,0.048464
219,0.074911
220,0.055668
221,0.074637
222,0.127860
223,0.078034
224,0.045096
225,0.073671
226,0.043768
227,0.103558
228,0.085365
229,0.060221
230,0.089044
231,0.086886
232,0.048675
233,0.077839
234,0.077272
235,0.077760
236,0.093272
237,0.049081
238,0.044051
239,0.084291
240,0.211229
241,0.086958
242,0.073197
243,0.082004
244,0.061955
245,0.091210
246,0.040288
247,0.068864
248,0.054224
249,0.059184
250,0.090739
251,0.081203
252,0.078112
253,0.082206
254,0.050668
255,0.080169
256,0.127250
257,0.064613
258,0.074621
259,0.051904
260,0.069627
261,0.076857
262,0.079591
263,0.053918
264,0.084413
265,0.051773
266,0.059776
267,0.069638
268,0.096537
269,0.046787
270,0.079489
271,0.095357
272,0.045330
273,0.079506
274,0.053349
275,0.062403
276,0.072370
277,0.049798
278,0.061635
279,0.081030
280,0.053091
281,0.080035
282,0.052726
283,0.062932
284,0.064081
285,0.067363
286,0.105174
287,0.202410
288,0.097777
289,0.051651
290,0.071177
291,0.049363
292,0.096783
293,0.070879
294,0.086407
295,0.078978
296,0.082329
297,0.046670
298,0.085728
299,0.068488
300,0.100876
301,0.100088
302,0.070768
303,0.052139
304,0.116771
305,0.284737
306,0.098230
307,0.062353
308,0.063934
309,0.054478
310,0.094609
311,0.055825
312,0.141874
313,0.061767
314,0.053223
315,0.184854
316,0.096284
317,0.088860
318,0.083752
319,0.059244
320,0.086743
321,0.148795
322,0.081467
323,0.071838
324,0.060484
325,0.090650
326,0.101054
327,0.088353
328,0.083357
329,0.065030
330,0.055060
331,0.061443
332,0.079704
333,0.075555
334,0.093561
335,0.081425
336,0.094232
337,0.092407
338,0.112817
339,0.059498
340,0.075399
341,0.083057
342,0.050538
343,0.060701
344,0.085585
345,0.075414
346,0.077480
347,0.054682
348,0.046416
349,0.089997
350,0.093007
351,0.098550
352,0.171859
353,0.068718
354,0.061987
355,0.070332
356,0.046816
357,0.086075
358,0.063846
359,0.058804
360,0.066598
361,0.086708
362,0.070596
363,0.082185
364,0.073840
365,0.136794
366,0.113711
367,0.082904
368,0.055433
369,0.091033
370,0.253908
371,0.097755
372,0.094112
373,0.111368
374,0.094057
375,0.078621
376,0.073224
377,0.081621
378,0.058088
379,0.089044
380,0.201841
381,0.127200
382,0.120160
383,0.102223
384,0.077827
385,0.103084
386,0.157197
387,0.070459
388,0.118900
389,0.078405
390,0.089314
391,0.101293
392,0.111701
393,0.089008
394,0.108700
395,0.066676
396,0.059031
397,0.062393
398,0.089742
399,0.067651
400,0.158710
401,0.119155
402,0.066991
403,0.102083
404,0.066802
405,0.084979
406,0.106410
407,0.061618
408,0.065200
409,0.058459
410,0.092468
411,0.079444
412,0.083576
413,0.070347
414,0.104044
415,0.060796
416,0.087752
417,0.226524
418,0.100068
419,0.061353
420,0.090761
421,0.069956
422,0.082125
423,0.090223
424,0.073109
425,0.063810
426,0.073927
427,0.053245
428,0.082452
429,0.090452
430,0.097028
431,0.079414
432,0.054435
433,0.069423
434,0.126552
435,0.286661
436,0.116062
437,0.076312
438,0.090053
439,0.072689
440,0.112611
441,0.076928
442,0.130820
443,0.093505
444,0.065925
445,0.190303
446,0.099878
447,0.096094
448,0.094655
449,0.062834
450,0.099362
451,0.180957
452,0.107479
453,0.096281
454,0.082101
455,0.098369
456,0.106523
457,0.099859
458,0.079539
459,0.109845
460,0.107689
461,0.063213
462,0.087903
463,0.109147
464,0.081749
465,0.092359
466,0.173645
467,0.069929
468,0.124888
469,0.079882
470,0.085295
471,0.128896
472,0.051654
473,0.063164
474,0.076509
475,0.103124
476,0.089682
477,0.070480
478,0.059997
479,0.112238
480,0.077959
481,0.145746
482,0.194317
483,0.110210
484,0.061625
485,0.084112
486,0.068921
487,0.116784
488,0.097739
489,0.065680
490,0.062166
491,0.144695
492,0.059111
493,0.090891
494,0.099748
495,0.111388
496,0.099835
497,0.070306
498,0.048477
499,0.094152
500,0.239470
501,0.117372
502,0.098991
503,0.108144
504,0.075636
505,0.129725
506,0.059521
507,0.129838
508,0.094714
509,0.082012
510,0.186744
511,0.146516
512,0.199945
513,0.145308
514,0.074261
515,0.114048
516,0.210929
517,0.089075
518,0.103369
519,0.086896
520,0.137467
521,0.090799
522,0.120041
523,0.081369
524,0.099196
525,0.097569
526,0.081109
527,0.084947
528,0.092882
529,0.073611
530,0.095767
531,0.121920
532,0.089641
533,0.181280
534,0.076737
535,0.086325
536,0.081438
537,0.059340
538,0.077190
539,0.074723
540,0.099343
541,0.087511
542,0.056872
543,0.042168
544,0.098569
545,0.066715
546,0.094819
547,0.224074
548,0.108112
549,0.065138
550,0.074633
551,0.071117
552,0.091676
553,0.115388
554,0.070410
555,0.089588
556,0.100231
557,0.070222
558,0.093655
559,0.098722
560,0.084274
561,0.096703
562,0.063527
563,0.050292
564,0.185418
565,0.302801
566,0.174621
567,0.110991
568,0.137767
569,0.083147
570,0.124991
571,0.090666
572,0.132065
573,0.079786
574,0.133188
575,0.373577
576,0.152504
577,0.143662
578,0.106377
579,0.075992
580,0.094436
581,0.214073
582,0.095795
583,0.105897
584,0.085169
585,0.118214
586,0.084068
587,0.169419
588,0.093353
589,0.097258
590,0.085719
591,0.067271
592,0.084333
593,0.171434
594,0.094920
595,0.108989
596,0.126868
597,0.131280
598,0.136720
599,0.093709
600,0.086445
601,0.129841
602,0.106951
603,0.094486
604,0.097425
605,0.096262
606,0.099607
607,0.075375
608,0.064490
609,0.095756
610,0.087332
611,0.139025
612,0.245345
613,0.111477
614,0.071838
615,0.116264
616,0.059332
617,0.122900
618,0.082398
619,0.080910
620,0.081386
621,0.119194
622,0.071121
623,0.090949
624,0.092848
625,0.102386
626,0.121341
627,0.072636
628,0.070301
629,0.102512
630,0.397233
631,0.162936
632,0.111152
633,0.122119
634,0.114831
635,0.102543
636,0.061967
637,0.096695
638,0.101350
639,0.136056
640,0.236465
641,0.148073
642,0.114769
643,0.149083
644,0.082904
645,0.109681
646,0.175233
647,0.084115
648,0.105290
649,0.099222
650,0.110383
651,0.104610
652,0.132270
653,0.114529
654,0.119493
655,0.098464
656,0.089888
657,0.110577
658,0.131155
659,0.093957
660,0.097057
661,0.162297
662,0.133023
663,0.128365
664,0.102382
665,0.092278
666,0.095602
667,0.084327
668,0.079861
669,0.080092
670,0.110748
671,0.105357
672,0.088348
673,0.071666
674,0.125378
675,0.064979
676,0.106838
677,0.167331
678,0.127028
679,0.143742
680,0.088233
681,0.067251
682,0.142283
683,0.109131
684,0.095597
685,0.081903
686,0.136212
687,0.083139
688,0.103458
689,0.113977
690,0.091927
691,0.126913
692,0.072794
693,0.057738
694,0.104911
695,0.315518
696,0.177303
697,0.123631
698,0.126800
699,0.126932
700,0.148366
701,0.077136
702,0.198036
703,0.139629
704,0.137639
705,0.253796
706,0.202085
707,0.160748
708,0.148669
709,0.105348
710,0.142049
711,0.236567
712,0.098251
713,0.153596
714,0.118667
715,0.124490
716,0.209646
717,0.150821
718,0.128976
719,0.132067
720,0.105885
721,0.109791
722,0.122970
723,0.180638
724,0.186007
725,0.152983
726,0.171541
727,0.103241
728,0.154268
729,0.101226
730,0.102307
731,0.131801
732,0.082869
733,0.141320
734,0.134240
735,0.140701
736,0.096171
737,0.084386
738,0.086191
739,0.124546
740,0.071413
741,0.154230
742,0.315426
743,0.162684
744,0.101066
745,0.113129
746,0.082109
747,0.179536
748,0.134953
749,0.097910
750,0.129146
751,0.146236
752,0.089448
753,0.135742
754,0.129687
755,0.167364
756,0.127923
757,0.091841
758,0.085328
759,0.115738
760,0.432587
761,0.203920
762,0.146318
763,0.171923
764,0.149501
765,0.212623
766,0.114918
767,0.230115
768,0.123000
769,0.229070
770,0.382664
771,0.228484
772,0.134332
773,0.159725
774,0.112889
775,0.159816
776,0.310950
777,0.131994
778,0.161321
779,0.127368
780,0.180249
781,0.155567
782,0.197449
783,0.139003
784,0.161183
785,0.136940
786,0.133066
787,0.139980
788,0.255705
789,0.166534
790,0.169654
791,0.216764
792,0.115647
793,0.179884
794,0.148279
795,0.124041
796,0.151876
797,0.091770
798,0.141435
799,0.104235
800,0.119518
801,0.106960
802,0.107905
803,0.096336
804,0.177852
805,0.118087
806,0.158338
807,0.345822
808,0.202385
809,0.125650
810,0.142805
811,0.097264
812,0.209748
813,0.137822
814,0.117576
815,0.129821
816,0.181307
817,0.121318
818,0.159965
819,0.131102
820,0.164936
821,0.165439
822,0.113320
823,0.088442
824,0.171075
825,0.419646
826,0.360241
827,0.172343
828,0.168340
829,0.156003
830,0.207037
831,0.173242
832,0.226708
833,0.194207
834,0.159230
835,0.397650
836,0.203880
837,0.209436
838,0.198323
839,0.134306
840,0.175042
841,0.315171
842,0.133456
843,0.198946
844,0.206837
845,0.189352
846,0.338421
847,0.275802
848,0.174939
849,0.223266
850,0.159338
851,0.194971
852,0.158689
853,0.236256
854,0.182012
855,0.182593
856,0.229213
857,0.118470
858,0.225466
859,0.192483
860,0.220669
861,0.240981
862,0.166742
863,0.151625
864,0.156486
865,0.178752
866,0.153438
867,0.139089
868,0.124048
869,0.189913
870,0.146143
871,0.165624
872,0.323467
873,0.238661
874,0.217037
875,0.221381
876,0.144804
877,0.215179
878,0.176994
879,0.198123
880,0.162199
881,0.263942
882,0.155771
883,0.205875
884,0.271898
885,0.266029
886,0.226065
887,0.120850
888,0.131943
889,0.165198
890,0.675358
891,0.371393
892,0.250712
893,0.336649
894,0.236962
895,0.443887
896,0.181726
897,0.285087
898,0.213842
899,0.274708
900,0.522740
901,0.433622
902,0.264816
903,0.295697
904,0.208107
905,0.299643
906,0.471568
907,0.300368
908,0.289304
909,0.242175
910,0.307711
911,0.298441
912,0.349731
913,0.213490
914,0.236518
915,0.187583
916,0.233106
917,0.235414
918,0.296458
919,0.266131
920,0.282141
921,0.303300
922,0.251348
923,0.284690
924,0.246287
925,0.251058
926,0.411301
927,0.199103
928,0.199411
929,0.256391
930,0.219429
931,0.246124
932,0.166796
933,0.152859
934,0.241584
935,0.183792
936,0.212669
937,0.457606
938,0.310902
939,0.276675
940,0.240523
941,0.183518
942,0.320196
943,0.316990
944,0.238147
945,0.266717
946,0.372150
947,0.242741
948,0.255798
949,0.222374
950,0.351156
951,0.330867
952,0.191776
953,0.167027
954,0.223340
955,0.858066
956,0.468767
957,0.293761
958,0.455470
959,0.367517
960,0.475973
961,0.253004
962,0.332725
963,0.311002
964,0.339181
965,0.924010
966,0.666055
967,0.343472
968,0.357488
969,0.263514
970,0.349912
971,0.812492
972,0.342770
973,0.444540
974,0.294923
975,0.321570
976,0.485608
977,0.523035
978,0.369925
979,0.370240
980,0.307064
981,0.321705
982,0.395585
983,0.434187
984,0.285349
985,0.287974
986,0.565729
987,0.304569
988,0.426458
989,0.362989
990,0.401118
991,0.607929
992,0.394517
993,0.313994
994,0.347755
995,0.300119
996,0.525765
997,0.329232
998,0.249952
999,0.404994
1000,0.303726
1001,0.414106
1002,1.068437
1003,0.520251
1004,0.545326
1005,0.516751
1006,0.332579
1007,0.551837
1008,0.435555
1009,0.599060
1010,0.322053
1011,0.525591
1012,0.381524
1013,0.517700
1014,0.359509
1015,0.441901
1016,0.458811
1017,0.360977
1018,0.264986
1019,0.309614
1020,1.240270
1021,0.723962
1022,0.705095
1023,0.765693
1024,0.664904
1025,0.724278
1026,0.503551
1027,0.823957
1028,0.937594
1029,0.493533
1030,1.404715
1031,1.081390
1032,0.818364
1033,0.725052
1034,0.487007
1035,0.701464
1036,1.450090
1037,0.912584
1038,0.816278
1039,0.738707
1040,0.912153
1041,0.963773
1042,1.276448
1043,0.885370
1044,1.003192
1045,0.748971
1046,0.757879
1047,1.120757
1048,1.111867
1049,0.839975
1050,0.957837
1051,1.029766
1052,0.864972
1053,1.261827
1054,1.037702
1055,1.316748
1056,1.780007
1057,1.027703
1058,1.202585
1059,1.479353
1060,1.766486
1061,1.822650
1062,1.519369
1063,0.996315
1064,1.805886
1065,1.445162
1066,1.720049
1067,2.835084
1068,3.206459
1069,3.537041
1070,3.187346
1071,3.911531
1072,4.263126
1073,6.166470
