timestamp,phase,cell,round_idx,cpu_little,cpu_mid,cpu_prime,gpu_5,gpu_7,hex_vec,hex_mat,ddr
1779733583,before,M7,0,32.60,32.30,31.50,31.90,31.50,31.10,31.90,32.30
1779733583,after,M7,0,33.00,33.00,31.90,31.90,31.50,31.50,31.90,32.30
1779733589,before,M6b,0,32.30,31.90,31.90,31.90,31.50,31.50,31.90,31.90
1779733589,after,M6b,0,32.60,32.60,31.90,32.30,31.90,31.90,32.30,32.60
1779733939,before,M7,1,32.60,32.60,31.50,32.30,31.50,31.50,31.50,31.90
1779733939,after,M7,1,33.40,33.80,31.90,32.30,31.90,31.50,32.30,32.30
1779733989,before,M6b,1,32.60,32.60,31.50,31.50,31.10,31.50,31.90,31.90
1779733989,after,M6b,1,33.40,33.80,31.90,32.30,31.90,31.50,32.30,32.30
1779734340,before,M6b,2,31.90,31.90,31.50,31.90,31.10,31.50,31.50,31.90
1779734340,after,M6b,2,32.30,32.30,31.90,32.30,31.50,31.50,31.90,32.30
1779734390,before,M7,2,32.30,32.60,31.90,31.90,31.10,31.10,31.50,31.90
1779734390,after,M7,2,32.30,31.90,31.90,31.90,31.50,31.90,32.30,32.30
1779734740,before,M7,3,33.00,33.40,31.50,31.50,31.50,31.10,31.90,31.90
1779734740,after,M7,3,32.30,32.30,31.90,31.90,31.90,31.50,31.90,32.30
1779734791,before,M6b,3,33.40,32.60,31.90,31.50,31.50,31.50,31.50,31.90
1779734791,after,M6b,3,33.40,33.80,31.90,31.90,31.90,31.90,32.30,32.30
1779735141,before,M7,4,31.90,32.60,31.50,31.90,31.50,31.50,31.90,31.90
1779735141,after,M7,4,33.40,32.60,31.90,31.90,31.50,31.90,32.30,32.30
1779735191,before,M6b,4,31.90,31.90,31.50,31.90,31.50,31.50,31.90,31.90
1779735191,after,M6b,4,32.60,33.40,31.90,32.30,31.50,31.90,31.90,32.60
1779735542,before,M7,5,32.60,33.00,31.50,31.90,31.10,31.50,31.50,32.30
1779735542,after,M7,5,32.30,32.30,31.90,32.30,31.90,31.50,31.90,32.30
1779735592,before,M6b,5,33.00,33.00,31.50,31.90,31.50,31.50,31.90,32.30
1779735592,after,M6b,5,33.40,33.00,32.30,32.30,31.50,31.90,32.30,32.30
1779735943,before,M7,6,31.90,31.50,31.50,31.50,31.50,31.50,31.50,31.90
1779735943,after,M7,6,32.30,32.30,31.50,31.90,31.50,31.90,31.90,32.30
1779735993,before,M6b,6,32.30,31.90,31.10,31.50,31.10,31.50,31.50,31.90
1779735993,after,M6b,6,32.30,32.30,31.90,31.90,31.50,31.50,31.90,32.30
1779736343,before,M7,7,32.60,33.80,31.90,31.90,31.50,31.50,31.90,32.30
1779736343,after,M7,7,32.30,32.30,31.90,32.30,31.90,31.90,32.30,32.60
1779736394,before,M6b,7,32.30,32.30,31.90,31.90,31.50,31.50,31.90,31.90
1779736394,after,M6b,7,32.30,31.90,31.90,32.30,31.90,31.90,32.30,32.60
1779736744,before,M6b,8,31.90,32.30,31.50,31.90,31.50,31.50,31.50,31.90
1779736744,after,M6b,8,32.60,32.30,31.90,32.30,31.90,31.50,32.30,32.60
1779736794,before,M7,8,33.80,32.60,31.50,31.50,31.50,31.50,31.90,31.90
1779736794,after,M7,8,33.00,33.80,31.90,32.30,31.50,32.30,32.30,32.30
1779737145,before,M7,9,33.00,32.60,31.90,31.50,31.10,31.50,31.50,32.30
1779737145,after,M7,9,32.60,32.30,31.90,31.90,31.90,31.50,32.30,32.30
1779737195,before,M6b,9,32.30,32.30,31.50,31.90,31.50,31.50,31.90,31.90
1779737195,after,M6b,9,32.30,32.30,31.90,32.30,31.90,31.90,32.30,32.60
