K,ttft_ms,avg_tbt_ms,total_30tok_ms,swap_blocking_ms,tick_count,peak_rssfile_MB
1,882.28,53.36,2430,1388,28,3047
3,888.56,41.14,2082,700,10,2906
5,885.37,37.98,1987,528,6,2900
7,885.71,38.11,1991,458,4,2776
9,881.46,37.93,1981,483,4,2915
11,890.11,36.50,1949,421,3,2732
13,882.35,37.21,1961,439,3,2794
15,882.74,36.85,1951,398,2,2664
17,890.06,37.07,1965,404,2,3465
19,888.44,35.78,1926,362,2,3084
21,895.13,41.60,2102,531,2,3462
23,888.99,36.14,1937,381,2,3312
25,896.79,38.87,2024,439,2,2464
27,905.88,40.40,2077,473,2,3318
